UF,municipality,code,area_de_ponderacao,N,P_AGUAENC,P_AGUAENCDENTRO,P_AGUAREDE,P_ESGOTOPUB,P_ESGOTOQUAL,P_MATPAREDES,P_OVERCROWDING,P_DESEMP,P_ENSFUND,P_ENSMED,P_ENSSUP,P_FORTRAB,P_FREQESCOLA
22,11001,2211001,2211001003001,8580.999999046326,99.51964786159806,98.33508466253988,97.32542003621347,55.42523104813881,86.71775448019616,99.00032092700712,4.462045314721763,12.87773884832859,66.50725830550073,53.39447517617373,23.73830004944466,65.51734343811404,87.84193065948784
22,11001,2211001,2211001003002,8528.999976158142,99.99999959836714,97.50409373664297,96.0543560620863,29.36062836670317,61.52546201483347,97.94553132378496,4.407729022204876,7.219196710502729,68.26001743320376,55.88122558547184,25.43357863614801,71.57735134824179,94.23264707438648
22,11001,2211001,2211001003003,8093.99999332428,98.16425058525056,91.24059223104268,96.7542287427932,9.531456418335438,41.20376055361703,95.43264149688184,6.395990122109652,9.155305515741929,48.1516743224347,30.35956551611889,5.077608261490241,66.66691513964906,88.38686463423073
22,11001,2211001,2211001003004,8605.999996900558,95.87989150313661,89.82580401934683,84.93831744417548,4.162604769226164,36.99333963450044,91.19220901047811,7.898968865629286,12.47525932412827,45.88875404151622,26.27974095521495,2.65329927788116,60.95654526434373,87.17626465950161
22,11001,2211001,2211001003005,10064.00000429153,100.0000009837095,98.44184918911196,97.98693234915845,26.94017916219309,78.47764143371023,96.42307882313617,5.081605084706098,6.6971145599382,69.32035429344978,53.65045713842846,19.74262459261809,58.65016523748636,92.32806055806577
22,11001,2211001,2211001003006,39572.99999427795,94.94335748022422,87.40699243498966,77.98086552647874,3.334153321338817,45.33610376238357,91.05280245130416,6.482343486277387,11.00081948679872,46.60493426490575,30.32698801252991,4.843288799747825,66.19999233371345,88.82995656458661
22,11001,2211001,2211001003007,34911.99953269958,99.22289315436501,95.50427306967322,97.43097771715838,3.052952996222302,56.11233341915067,95.07470553799067,5.644208964076824,9.799303885665722,53.7011077045463,35.61690550122876,7.48843920591753,64.73409879690735,88.29974278341979
22,11001,2211001,2211001003008,8279.000004768372,99.40734250922105,94.08292832886218,97.41906813796959,9.102945949416608,44.0489475207869,92.05476030110731,8.519302873173729,8.827450155513361,48.08609739120584,31.33848778452375,6.83555682117003,68.05427397557651,88.18660487886518
22,11001,2211001,2211001003009,8610.00001001358,99.99999979045242,97.92976228054613,99.67459205072373,7.815605157520622,60.31533453497104,97.88768729194999,4.38929129159078,9.43878275284078,71.23404989833944,57.6431987225078,19.55847263743635,62.31816174113192,89.91729989647865
22,11001,2211001,2211001003010,9407.000008106232,99.84731032745913,98.344990843907,99.44865453289822,32.65322977676988,62.06229343661107,97.97776653431356,5.007860623300076,8.199247141601518,68.73047957196832,53.95678857166786,20.36260165041313,62.18409760331269,95.8907195366919
22,11001,2211001,2211001003011,23145.99997615814,99.99999849824235,96.73785546910949,98.23230030015111,15.3394919965649,63.78184154455084,98.95568421925418,3.938572475453839,8.85249238635879,66.73701327090384,51.65199498151196,14.34654189943103,65.61284967756364,89.31461914908141
22,11001,2211001,2211001003012,8381.000010490417,99.79408665094525,98.79182827426121,97.86369835492224,76.27687912317924,91.29554351093248,99.17936058482155,2.69798677181825,9.862790559418499,78.34543523495086,65.68010884802788,28.1982957967557,61.72541354317218,90.94498544000089
22,11001,2211001,2211001003013,8803.000010967255,99.50865243736189,94.6202566701686,99.2428252910031,16.53467956348322,67.25074840360321,96.20198490738403,5.632032256107777,10.32664476369973,52.37318479921669,32.97590194852091,6.116788071813062,64.24850617477205,87.83559910953045
22,11001,2211001,2211001003014,9220.999971389771,98.3956569863949,92.87189858150668,95.3720145393163,6.78318782011047,74.42537144524977,93.95603457815014,5.949071666691452,10.42789675411768,52.84209761884995,36.0762408177834,6.579808401875198,62.55009627784602,86.17466758005321
22,11001,2211001,2211001003015,11870.00001811981,100.0000006984919,95.40649217087775,99.57668576389551,10.56582916644402,90.74323545210063,96.24874346191064,4.981310834409669,12.1312089409912,65.28566645283718,46.58165535365697,10.77634384855628,68.0969812819967,92.02530989423394
22,11001,2211001,2211001003016,18111.99999332428,99.71302193007432,95.38528854609467,91.99315054574981,58.9845277776476,90.44516449794173,95.24942360585555,3.579251980409026,6.662588703329675,70.86379157844931,60.44558732537553,38.60599451581948,64.43938393640565,88.07945554144681
